 ,,,,,,,,,,,,,,
Edwin,Going Crazy For Chocolates,,,Ara Cristina,Decay (Of Time),https://hojascirculares.bandcamp.com,,NASCEN7,The Lullaby,https://audius.co/nascent/the-lullaby,,Poetry in Noise,Pommes,https://soundcloud.com/hedbut/pommes?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=b7d38cd1e1164fb3aa289c528c139488
Nornec,Lick The Spoon,,,PonyArt (Mad Hed City),Who The Leader,,,Snoozevelt,Third Place,https://soundcloud.com/snoozevelt/third-place,,Nornec & Udio,Acquiescence,
Negative Teens,"""Calm Down, Man""",,,Zero Lucks Given,Offline,https://zerolucksgiven.bandcamp.com/track/offline,,Teapotahedron,Little Big Tea House,,,Stu M,Azul,
Procrastronaut,hersheysisactualpuke,https://soundcloud.com/procrastro0/hersheysisactualpuke,,Nornec & The Flashbulb,Stranded In Nice Weather,,,Err: Rawr,New Breakaway,,,HH,Bootsnipper,
Poetry In Noise,P.I.N. Aux Chocolate,https://on.soundcloud.com/HsjqY,,Seth Monyette,Sky,,,Moiko,"Tea House, Too",https://soundcloud.com/moikop/tea-house-too,,Jungle Pickle,Mr. Bumble,https://soundcloud.com/jungle-pickle/mr-bumble?si=08d66412f2a44f40bf8776aa6c2856c9&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing
Ponyart,Blaze (Mad Hed City),,,Poetry In Noise,BTBOL (ANFO Fork),,,Seth Monyette,Welcome Home,,,DSM4LV,Autumn's Apple,
Mylarmelodies/Pathing,Metropolis Showdown,,,Robert Redshaw,In Clouds,,,Amadeus B. Snivelitch,Teatime In Bristol,,,Adam Johan Bergren,Goodland Harvest,https://adamjohanbergren.bandcamp.com/track/goodland-harvest
Krovvythered,Unearned Cheerful Confidence,,,Perlin ,Power Outage,,,Moiko,Tea House In Orbit,https://soundcloud.com/moikop/teahouse-in-orbit,,Fractalint,Telehat,https://soundcloud.com/fractalint/telehat
Kiwillian,Dreamers Of Dreams,,,Lonnon Foster,Take It Offline,,,Broken Gravity,The Teahouse At Lake Shinji,,,Cake Sandhi,Seeds Falling Upward,
Robert Redshaw,Illogical Heft,,,Ducks,Steelmill Rodeo,,,Zero Lucks Given,"Yesterdays Gaiwan, Todays Teacup",http://zerolucksgiven.band/track/yesterdays-gaiwan-todays-teacup,,Mikey303,Appel,
Drew Willard,Wonder,https://drewillard.com/track/3684557/wonder,,Amadeus B. Snivelitch,Unplug,,,Jacketpocket,Ambush At Hanamikoji,https://soundcloud.com/traviedoodle/ambush-at-hanamikoji,,Perlin,Three Apple Tree,
Zero Lucks Given,The Struggle Continues,https://zerolucksgiven.bandcamp.com/track/the-struggle-continues,,Drew Willard,Traffic,,,Edwin,T-Pose T-House,,,Depthbuffer,Cicadasong,https://depthbuffer.bandcamp.com/track/cicadasong
Meganeura,Atom Splitter,,,Menhirs & Skyguide,False Spring Waltz,,,Adam Johan Bergren,Never Odd Or Even,https://adamjohanbergren.bandcamp.com/track/never-odd-or-even,,Nascen7,Warm Invitations,https://nascen7.bandcamp.com/track/warm-invitations
,,,,Takamoon,My Friends Waste Cheese,My Friends Waste Cheese | Takamoon (bandcamp.com),,Fractalint,Tea For T,https://soundcloud.com/fractalint/tea-for-t,,Broken Gravity,Barden Automata,
,,,,Sonarant Escapades,Cascade Anomolies,,,Perlin,Tachycardia,,,Krovvythered,April Impromptu,
,,,,Mark Feifarek,Highland Forest,,,TheDisordered,Radium,,,Negativeteens,Boom-Nostalgia,
,,,,Edwin,Iakesi,,,Stu M,Tea_Gen,,,Robert Redshaw,Faulty Wiring,
,,,,Fjaru,Lost In A Puddle,https://soundcloud.com/fjaru/lost-in-a-puddle,,Dedblank,Lotus (WIP),,,Takamoon,10 Things I Meh About You,10 Things I Meh About You | Takamoon (bandcamp.com)
,,,,Adam Johan Bergren,Catskill Eagle,https://adamjohanbergren.bandcamp.com/track/catskill-eagle,,Jungle Pickle,Can You Imagine,https://soundcloud.com/jungle-pickle/can-you-imagine?si=f24bf322276c402c82f6f45eaa9e902b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Adam Johan Bergren & Mikki Pike Hades,Gorchard,https://adamjohanbergren.bandcamp.com/track/gorchard-ft-mikki-pike-hades
,,,,ZeroAPR,Arithmetic Error,,,Cahl,C U At 9,,,Fulhjort,Male Pattern Brand Awareness (Alternate),
,,,,LaurenPinsChannels,Spectral Pan Thing (Real) (Slow Version),,,Skyguide,Fast Slow Disco,https://youtu.be/XhiqdqUn5g8,,Seth Monyette,Bromoso Sol,
,,,,Anonymous Water Bottle,The Mercator Projection Ate My Parents,,,Poetry In Noise,Carafe's Eye View,https://youtu.be/gfPwc2g9C7k,,Edwin,I Was Chillin Under A Tree,https://www.youtube.com/watch?v=8xGJIhCya7c
,,,,Negative Teens,Off The Grid,,,Skitter,Blast,https://www.youtube.com/watch?v=OMj0yvLeNIg,,Procrastronaut,Orbits,
,,,,Jungle Pickle,Put On Your Gloves,https://soundcloud.com/jungle-pickle/put-on-your-gloves?si=f24bf322276c402c82f6f45eaa9e902b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,,,,Skyguide,In The Shade of the Old Apple Tree,https://www.youtube.com/watch?v=gpq4wo8GSCE
,,,,Dedblank,High On Clear,,,,,,,,,
,,,,,,,,,,,,,,
May,168: SimSelections Listening Party [May],,,June,171: SimSelections Listening Party (June),,,July,176: Sim Selections Listening Party - JULY - YouTube,,,August,181: SimSelections - August Listening Party 🎧,
"Theme: Highway. Keywords: welting, delirious",,,,"Theme: Not A Moment Too Soon. Keywords: nostalgic, terror",,,,"Theme: Pulling The Fire Alarm. Keywords: ultra, voiceless",,,,"Theme:  Foggy Lighthouse. Keywords: dispensable, shaky",,
Optional Challenge: Use acapella from @SuperlativeUK,,,,"Optional Challenge: Remix ""Nornec - Confusion"" ",,,,"Optional Challenge: Create all of the sounds of your track from only one sample. You can use graintable synthesis, wavetable synthesis, etc. You can also just use the sample itself!",,,,"Optional Challenge: Use the Fibonacci sequence in any and all of the ways you can think of! e.g. for rhythms/timings, chord/melody progressions, song structure, parameter automation, and who knows what else!",,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link
Echoes Bats,Spiteful Wave feat. Superlative,,,Derek Shunia,As the Sun Begins to Set,,,fulhjort,Macgyvering a Swiss Android,,,Stu M,MNTN,
informationcake,Stay Quiet (feat. Superlative),,,dedblank,Confusion (dedblank 99%stem confused remix),,,Edwin,Precog Hot Summer Chill Jam,https://www.youtube.com/watch?v=ygTG0dG6_Ao,,The Elk Lodge,Fibber Nietzsches Lighthouse,
Edwin,That Just Happened feat. Superlative,,,Nornec,Confusion (Stoic Remix),,,moiko,Elevate,,,Edwin,Endless Summer Memory,https://www.youtube.com/watch?v=nUAz0bcPMUU
The Flashbulb,Merging,,,Broken Gravity,The Hidden Entrance,,,Computrhead,Algernon,,,Takamoon,Uninspired By Real Events,Uninspired By Real Events | Takamoon
informationcake,Its Too Bright,,,Negative Teens,Lofi Music to Study Forensics,,,Film for the Future,Sirens,,,"Astar, a Robot",Robot Exploration Project,
Err:Rawr vs Ponyart,Wage Riot feat. Superlative,,,Teapotahedron,Taking Punches,,,Adam Johan Bergren,Ruminate on Change of State,https://adamjohanbergren.bandcamp.com/track/ruminate-on-change-of-state,,dedblank,F og In vesti gation,
Nornec,Go Home (feat. Superlative),,,Seth Monyette,Recoil,,,Perlin,Sleeping Through The Fire Alarm,,,informationcake,Soft Light,
Snoozevelt,struggle feat. Superlative,,,moiko,Confusion (feat. Nornec),,,"Astar, a Robot",Cosmic Noon,,,kruvek,Lighthouse,
Adam Johan Bergren,Ego Fatality (ft. Superlative),https://soundcloud.com/adam-johan-bergren/ego-fatality-ft-superlative?si=58fdada864f1474ea0d9c88e9577886b&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,stupidPilled,where_man_ends_and_machine_begins...,,,Stu m & PonyArt,Ukiyo feat. Mad Hed City,,,fulhjort,Didnt Mean To Type Groin,
Fjaru,"Too loud, featuring Superlative",,,Buttons,Assisi,,,,,,,Long Century of The Surreal,The Navigator,
Negative Teens,Stay Quiet,,,Donoru,Impulse,,,Hunter the Gatherer,False Alarm,,,pathing,Hungarian Infarction,
Nascen7,Test Track,,,Default Media Transmitter;Nornec,Confusion remix,,,DREWILLARD,I Like to Run,,,Skitter,Unfamiliar Thoughts,
Lonnon Foster,Making Mountains feat. Superlative,,,Amadeus B Snivelitch,We Run (Nornec - Confusion done redid),,,No Time To Mix,Just Put Infiltrator On It,,,jacketpocket,Point Hope,
Poetry In Noise,emBap Ft. Superlative,,,IamNabil,I am not interested in this conversation,,,PrYsM,Good2BeBack,,,Perlin,Lighthouse,
Dedblank,Hmmmmm feat. Superlative,,,jungle pickle,hindsight,https://soundcloud.com/jungle-pickle/hindsight?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=133dc6fa156043449c1bb72af17d858a,,wisteria,butterfly,,,Robert Redshaw,The Storm,
Broken Gravity,Alterlative,,,Nornec,Confusion (Aplut Remix),https://soundcloud.com/aplutofficial/nornec-confusion-aplut-remixx,,kanaris,4sound,,,Poetry in Noise,The Light from Outside,
Prysm,Loch Ness Monster,https://soundcloud.com/prvsm/loch-ness-monster,,Stu M,Nornec Confusion Remix,,,dedblank,Oh (WIP),,,DREWILLARD,Hit the Ground,
Ducks,the boy s rappin feat. superlative,,,Nornec,Special Thanks,,,KrovvyTheRed,Ten Tabulae (Four Part),,,Lonnon Foster,Phi Life,
Robert Redshaw,Humidity,,,Procrastronaut,Organ Ick,,,Procrastronaut,On Empty,,,Sir Fancy,The Universe Beacon,
Skitter,Mindset feat. Superlative,https://soundcloud.com/skittermusic/mindset,,ducks,con foo son (Nornec - Confusion Remix),,,c alt,lost in process,,,PonyArt,Lets take a moment together,
"Astar, A Robot",Stay Damaging feat. Superlative,,,Edwin,Many Spaces (feat. Nornec),,,pathing,Vacillate,,,KooDaiSung,AA384,
Perlin,Vienna,,,Perlin,Confusion - Nornec (Perlin Remix),,,Sir Fancy,Lofi Interlude to Study(slash)Fight Fires To,,,Adam Johan Bergren,Uncrypting,https://adamjohanbergren.bandcamp.com/track/uncrypting
Procrastronaut,To a New Beginning,,,Procrastronaut,Nornec - Confusion (Procrastronaut Remix),,,stupidPilled,XxxSingularSamplexxX,,,jungle pickle,lighthouse,https://soundcloud.com/jungle-pickle/the-storm?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=91312ecd6574448d9e98103631021301
Takamoon,-est  feat. Superlative,,,Ara Cristina,THE KNIFE,,,Long Century of The Surreal,Ultra Low,,,Procrastronaut,bbadekidubb,
Jungle Pickle,gattb,https://soundcloud.com/jungle-pickle/gattb?si=87d4536fbb494b88a05a4de8f196d473&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Nornec,Confusion (AJB Remix),https://adamjohanbergren.bandcamp.com/track/confusion-ajb-remix-bandcamp-exclusive,,Takamoon,Beats Are Meant To Be Broken,Beats Are Meant To Be Broken | Takamoon,,,,
Stu M,6AM feat. Superlative,,,Nornec,Confusion (err: Rawr remix),,,Skitter,Some Scribbles,https://soundcloud.com/skittermusic/production-hell,,,,
Moiko,Bad Vibes is Damaging (feat. Superlative),https://on.soundcloud.com/ricvGN6eceMaDPjMA,,"Astar, a Robot",Blood Circuit,,,Poetry in Noise,Voiceless,,,,,
Dream Static,I Could Be Safe,,,informationcake,Not OK (Nornec - Confusion remake),,,jungle pickle,when the heat is on,https://soundcloud.com/jungle-pickle/when-the-heat-is-on?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=1279bad7cc664716b43e9683a2b7ae8f,,,,
Jacketpocket,WHaTS HaPPeNiN (feat. Superlative),https://soundcloud.com/traviedoodle/whats-happenin-feat-superlative,,Hunter the Gatherer,So Glad You Made It,,,,,,,,,
Euskalduna,61 Marker feat. Superlative,,,jacketpocket,Beware,,,,,,,,,
Pathing,Pembroke,https://soundcloud.com/pathing/pembroke,,Skitter,The Lounge,,,,,,,,,
Skyguide,mindset feat. Superlative,https://youtu.be/oFGSkX5vc4w?si=GQ1szkFN2swe4Hnn,,fallen princess,Evening Glow (Nornec - Confusion Reimagining),,,,,,,,,
,,,,jacketpocket vs PonyArt,Haunted,,,,,,,,,
,,,,Sir Fancy,Not Okay,,,,,,,,,
,,,,Robert Redshaw,Phasm,,,,,,,,,
,,,,Poetry In Noise,4 Poems,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
September,184: SimSelections Listening Party (September),,,October,188: SimSelections Listening Party (Oct2024 Submissions),,,November,192: SimSelections Listening Party (November Submissions) - YouTube,,,December,196: Microtonal Music Listening Party,
"Theme: Eternity. Keywords: material, sour",,,,"Theme:  Autumn Glow. Keywords: Spooky, Accidental",,,,"Theme: Rekindling the Flame. Keywords: Interconnected, Transition",,,,"Theme: On The Tip Of A Needle. Keywords: soft, curly",,
Optional Challenge: Rent/trial or borrow a piece of gear/software you've never used before and use it in the creation of your track.,,,,Optional Challenge: Pick your favorite poem structure and use that as the basis for your song.,,,,"Optional Challenge:  Use rhythmic elements (notes, drum hits, samples, looping FX, automation, etc.) that are strongly syncopated and/or chaotically deviating from the grid (or act as if there is none). Find a way to tie it all together, or feel free to go wild and abandon any semblance of rhythmic consonance!",,,,Optional Challenge: Microtonal,,
Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link,,Artist name,Art name,Link
Monkey Luckless,Forever Ever,,,fulhjort,Quick one,,,wisteria,beat_9,,,Teapotahedron,Stairway to Nowhere,
Poetry In Noise,In nomine Citrea,,,Poetry in Noise,Thin Place,,,Teapotahedron,Matches to Ashes,,,Adam Johan Bergren,Turbulence,https://adamjohanbergren.bandcamp.com/track/turbulence
kruvek,Your Trial Has Expired,,,Akila Kavo,Tape Forest Terror,,,dedblank,latency,,,Derek Erdmann,Glucagon,
jungle pickle,youve got time,https://soundcloud.com/jungle-pickle/youve-got-time?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=621225d8b8d747989c53c7922929ac85,,Hunter the Gatherer,I Dont Mind,,,Ara Cristina,(reeling),,,AmbientSpace,"Lapis Majuscules - An exploration of VCV Blippoo Box, Horns and Virus.",
Hunter the Gatherer,Holy Fire,,,mmm,Weekly Garlic Banshees,,,Perlin,Campfire Magic,,,Christopher Sisk,Prince Prospero's Prosperous Dream,https://music.christophersisk.com/simsel
"jacketpocket, Mason",Raging River (Masons Blues),,,kruvek,The Monster Bash,,,"Astar, a Robot",Object M104,,,Reark,Artemis,
CayZe,Eternal Reign,,,Derek Shunia,Tokyo Drama,,,Law Effort,Frying sausages,,,Skitter,Bell2,
Edwin,Summer End,https://www.youtube.com/watch?v=EHUWTIQNb3Q,,Stu M,Codehip,,,jacketpocket,Loved Ones,,,jacketpocket,Cuckoo,
Mark Feifarek,Circuit,,,Skitter,Downwind,https://soundcloud.com/skittermusic/downwind/s-bIlWqM8cB7K?si=b659428dfe79429cb0ef304467d2a14e&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,Poetry in Noise,Accendit Ignem,,,Edwin,byeeeee. oh hi!,https://www.youtube.com/watch?v=B_tSMjWVkw8
Lonnon Foster,Iron Star Orbit,,,jungle pickle,it was an accident,https://soundcloud.com/jungle-pickle/it-was-an-accident?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=be1045be727c41e79e8c89937f676bd4,,Broken Gravity,Tall Tales,,,Robert Redshaw,A Gentle Bend,
Perlin,Glittermine,,,Perlin,black cats,,,Hunter the Gatherer,"Honking, Hucka, Snore, and Cackle",,,Stu M,Faded Region,
ducks,blood.moon,,,Teapotahedron,It is under the colors,,,Procrastronaut,Fades In Slowly,,,AmbientSpace,"Lapis Majuscules - explorations with Blippoo Box, Horns, and Virus",
Adam Johan Bergren,Tortuosity,https://adamjohanbergren.bandcamp.com/track/tortuosity,,Adam Johan Bergren,Two Against All Odds,https://adamjohanbergren.bandcamp.com/track/two-against-all-odds,,infomationcake vs PonyArt,November,,,dedblank,LRon,
b,loontype,,,jacketpocket,2600 Beat,,,Lonnon Foster,Set this Metaphor Ablaze,,,jungle pickle,jabby,https://soundcloud.com/jungle-pickle/jabby?utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing&si=908b74df09284dd4aa1fd642e4e4c78f
LuckyTamagotchi,Eternity,,,informationcake,Our Journeys End,,,informationcake,Emotional Afterglow,,,err: Rawr,Microbones,
wisteria & informationcake,Eternity,,,PonyArt,Stung by a FUCKING Bee!,,,Donoru,Shatter,,,Kiwillian,Hear That Sound (19EDO),
dedblank,fwd,,,Edwin,Fall Haiku 2,https://www.youtube.com/watch?v=AWqv-ZqZt90,,err: Rawr,Paint With No Colour,,,Perlin,Elkenroc Mountain,
Zero Lucks Given,Cannot Come Home,https://zerolucksgiven.bandcamp.com/track/cant-come-home,,Robert Redshaw,Summer is Gone,,,Long Century of The Surreal,Telluraves,,,Long Century of The Surreal,Cynocephaly,
Procrastronaut,Hunger,,,NASCEN7,Flooding In,,,Skitter,Decommissioned Structures,,,fulhjort,Rubber #3,
fulhjort,colonized apstrophe paranthesis,,,Procrastronaut,Dollar Store Emperor,,,Japanese Seizure Robots,The Waiting Room,,,Poetry in Noise,Paper Raga,
Ara Cristina,FABRIC,,,Broken Gravity,Octobers Ember,,,Christopher Sisk,Afterglow,https://music.christophersisk.com/simsel,,,,
truck (but with a leading underscore like my discord handle),"Anathema (Excerpt From Live Set Chicago, IL 9-5-24)",,,AP,Unknown Trails,,,Stu M,HRZNS,,,,,
Broken Gravity,Into the Ever After,,,err: Rawr,You,,,Deithryn,Zippo,,,,,
stoic,rolling flutter,,,dedblank,Fallutumn,,,jungle pickle,rekindled,,,,,
err: Rawr,Out West,,,Ara Cristina,Decoherence,,,AmbientSpace,Nocturne for Benjolin and 4 Horns,,,,,
KrovvyTheRed,Romanesca,,,BS Reactor,13th,,,Adam Johan Bergren,Mind Palace Wandering,,,,,
moiko,Slow Magic,,,Lonnon Foster,Escape from Phobos,,,Edwin,Kindle Flames,https://www.youtube.com/watch?v=tcF04YLzY88,,,,
Takamoon,Autumn Damage,Autumn Damage | Takamoon,,,,,,Robert Redshaw,Disconnected,,,,,
Robert Redshaw,Li to Os and back,,,,,,,,,,,,,
BS Reactor,St Couilles,,,,,,,,,,,,,
